price,date
10.88873258,2012-08-31T00:00:00.000Z
10.94968526,2012-09-07T00:00:00.000Z
11.32085776,2012-09-13T00:00:00.000Z
12.47507906,2012-09-20T00:00:00.000Z
12.25546331,2012-09-26T00:00:00.000Z
12.77905409,2012-10-03T00:00:00.000Z
11.89248142,2012-10-09T00:00:00.000Z
11.90024031,2012-10-15T00:00:00.000Z
11.74277608,2012-10-22T00:00:00.000Z
10.68074255,2012-10-28T00:00:00.000Z
11.00521398,2012-11-04T00:00:00.000Z
10.97113392,2012-11-10T00:00:00.000Z
11.72587835,2012-11-17T00:00:00.000Z
11.92553135,2012-11-23T00:00:00.000Z
12.46174322,2012-11-30T00:00:00.000Z
13.34739734,2012-12-06T00:00:00.000Z
13.67600467,2012-12-13T00:00:00.000Z
13.37234159,2012-12-19T00:00:00.000Z
13.44967673,2012-12-25T00:00:00.000Z
13.55402337,2013-01-01T00:00:00.000Z
13.53211054,2013-01-07T00:00:00.000Z
14.30430904,2013-01-14T00:00:00.000Z
15.65531945,2013-01-20T00:00:00.000Z
18.4815877,2013-01-27T00:00:00.000Z
20.523841,2013-02-02T00:00:00.000Z
22.32985654,2013-02-09T00:00:00.000Z
25.91093475,2013-02-15T00:00:00.000Z
29.82337523,2013-02-22T00:00:00.000Z
30.91942017,2013-02-28T00:00:00.000Z
38.11996321,2013-03-06T00:00:00.000Z
46.5055121,2013-03-13T00:00:00.000Z
51.11806964,2013-03-19T00:00:00.000Z
73.19709763,2013-03-26T00:00:00.000Z
92.47043987,2013-04-01T00:00:00.000Z
153.78325931,2013-04-08T00:00:00.000Z
114.86161727,2013-04-14T00:00:00.000Z
123.03636385,2013-04-21T00:00:00.000Z
139.41366795,2013-04-27T00:00:00.000Z
106.25,2013-05-03T00:00:00.000Z
112.7990036011,2013-05-10T00:00:00.000Z
114.2200012207,2013-05-16T00:00:00.000Z
123.8000030518,2013-05-23T00:00:00.000Z
129,2013-05-29T00:00:00.000Z
121.4000015259,2013-06-05T00:00:00.000Z
106.3499984741,2013-06-11T00:00:00.000Z
101.9499969482,2013-06-18T00:00:00.000Z
107.9000015259,2013-06-24T00:00:00.000Z
97.5100021362,2013-07-01T00:00:00.000Z
68.7490005493,2013-07-07T00:00:00.000Z
93.9898986816,2013-07-13T00:00:00.000Z
92,2013-07-20T00:00:00.000Z
96.9499969482,2013-07-26T00:00:00.000Z
104.8560028076,2013-08-02T00:00:00.000Z
106.75,2013-08-08T00:00:00.000Z
112.56199646,2013-08-15T00:00:00.000Z
121.2099990845,2013-08-21T00:00:00.000Z
126.4800033569,2013-08-28T00:00:00.000Z
135.6100006104,2013-09-03T00:00:00.000Z
127.2699966431,2013-09-10T00:00:00.000Z
130.8600006104,2013-09-16T00:00:00.000Z
127.8700027466,2013-09-22T00:00:00.000Z
134.8999938965,2013-09-29T00:00:00.000Z
128.6300048828,2013-10-05T00:00:00.000Z
130.8999938965,2013-10-12T00:00:00.000Z
146.3699951172,2013-10-18T00:00:00.000Z
197.6900024414,2013-10-25T00:00:00.000Z
199.8300018311,2013-10-31T00:00:00.000Z
261.6799926758,2013-11-07T00:00:00.000Z
360.9700012207,2013-11-13T00:00:00.000Z
577.9799804688,2013-11-20T00:00:00.000Z
805.7299804688,2013-11-26T00:00:00.000Z
951.4199829102,2013-12-02T00:00:00.000Z
793.799987793,2013-12-09T00:00:00.000Z
875.2899780273,2013-12-15T00:00:00.000Z
601.7800292969,2013-12-22T00:00:00.000Z
737.9799804688,2013-12-28T00:00:00.000Z
823.2700195313,2014-01-04T00:00:00.000Z
846.6900024414,2014-01-10T00:00:00.000Z
834.4899902344,2014-01-17T00:00:00.000Z
845.4600219727,2014-01-23T00:00:00.000Z
826.0200195313,2014-01-30T00:00:00.000Z
829.9600219727,2014-02-05T00:00:00.000Z
683.5,2014-02-11T00:00:00.000Z
627.1599731445,2014-02-18T00:00:00.000Z
606.0399780273,2014-02-24T00:00:00.000Z
562.5599975586,2014-03-03T00:00:00.000Z
616.3099975586,2014-03-09T00:00:00.000Z
636.5,2014-03-16T00:00:00.000Z
571.1799926758,2014-03-22T00:00:00.000Z
501.7130126953,2014-03-29T00:00:00.000Z
445.6640014648,2014-04-04T00:00:00.000Z
442.2560119629,2014-04-10T00:00:00.000Z
529.0670166016,2014-04-17T00:00:00.000Z
488.3590087891,2014-04-23T00:00:00.000Z
446.8900146484,2014-04-30T00:00:00.000Z
433.3640136719,2014-05-06T00:00:00.000Z
441.5310058594,2014-05-13T00:00:00.000Z
446.0759887695,2014-05-19T00:00:00.000Z
571.3930053711,2014-05-26T00:00:00.000Z
623.6929931641,2014-06-01T00:00:00.000Z
654.9940185547,2014-06-08T00:00:00.000Z
600.7459716797,2014-06-14T00:00:00.000Z
597.4019775391,2014-06-20T00:00:00.000Z
581.2969970703,2014-06-27T00:00:00.000Z
650.7689819336,2014-07-03T00:00:00.000Z
624.8259887695,2014-07-10T00:00:00.000Z
622.0130004883,2014-07-16T00:00:00.000Z
621.1229858398,2014-07-23T00:00:00.000Z
585.5520019531,2014-07-29T00:00:00.000Z
589.0109863281,2014-08-05T00:00:00.000Z
591.2819824219,2014-08-11T00:00:00.000Z
491.5069885254,2014-08-18T00:00:00.000Z
498.2850036621,2014-08-24T00:00:00.000Z
